region,year,value
강원도강릉시,2020,5961.0
강원도강릉시,2021,6525.0
강원도강릉시,2022,11719.0
강원도강릉시,2023,7482.0
강원도고성군,2020,1026.0
강원도고성군,2021,1553.0
강원도고성군,2022,1596.0
강원도고성군,2023,2792.0
강원도동해시,2020,3743.0
강원도동해시,2021,2575.0
강원도동해시,2022,3020.0
강원도동해시,2023,1777.0
강원도삼척시,2020,50053.0
강원도삼척시,2021,35669.0
강원도삼척시,2022,30641.0
강원도삼척시,2023,32216.0
강원도속초시,2020,6441.0
강원도속초시,2021,5880.0
강원도속초시,2022,6294.0
강원도속초시,2023,2201.0
강원도양구군,2020,704.0
강원도양구군,2021,753.0
강원도양구군,2022,247.0
강원도양구군,2023,207.0
강원도양양군,2020,1778.0
강원도양양군,2021,1308.0
강원도양양군,2022,1014.0
강원도양양군,2023,986.0
강원도영월군,2020,361.0
강원도영월군,2021,621.0
강원도영월군,2022,730.0
강원도영월군,2023,660.0
강원도원주시,2020,5181.0
강원도원주시,2021,5949.0
강원도원주시,2022,5438.0
강원도원주시,2023,4997.0
강원도인제군,2020,1433.0
강원도인제군,2021,516.0
강원도인제군,2022,690.0
강원도인제군,2023,1000.0
강원도정선군,2020,1683.0
강원도정선군,2021,1538.0
강원도정선군,2022,942.0
강원도정선군,2023,763.0
강원도철원군,2020,798.0
강원도철원군,2021,1728.0
강원도철원군,2022,1021.0
강원도철원군,2023,876.0
강원도춘천시,2020,2625.0
강원도춘천시,2021,3328.0
강원도춘천시,2022,3088.0
강원도춘천시,2023,3420.0
강원도태백시,2020,7898.0
강원도태백시,2021,7322.0
강원도태백시,2022,6828.0
강원도태백시,2023,8563.0
강원도평창군,2020,699.0
강원도평창군,2021,693.0
강원도평창군,2022,783.0
강원도평창군,2023,1050.0
강원도홍천군,2020,7070.0
강원도홍천군,2021,6582.0
강원도홍천군,2022,5084.0
강원도홍천군,2023,4940.0
강원도화천군,2020,279.0
강원도화천군,2021,419.0
강원도화천군,2022,338.0
강원도화천군,2023,314.0
강원도횡성군,2020,3548.0
강원도횡성군,2021,4747.0
강원도횡성군,2022,5018.0
강원도횡성군,2023,4906.0
경기도가평군,2020,655.0
경기도가평군,2021,709.0
경기도가평군,2022,983.0
경기도가평군,2023,2087.0
경기도고양시,2020,2765.0
경기도고양시,2021,5271.333333333333
경기도고양시,2022,6958.0
경기도고양시,2023,8433.0
경기도과천시,2020,184.0
경기도과천시,2021,137.0
경기도과천시,2022,63.0
경기도과천시,2023,162.0
경기도광명시,2020,3781.0
경기도광명시,2021,4150.0
경기도광명시,2022,8159.0
경기도광명시,2023,7725.0
경기도광주시,2020,3643.0
경기도광주시,2021,4244.0
경기도광주시,2022,4569.0
경기도광주시,2023,2994.0
경기도구리시,2020,3030.0
경기도구리시,2021,5138.0
경기도구리시,2022,4457.0
경기도구리시,2023,1457.0
경기도군포시,2020,6737.0
경기도군포시,2021,6923.0
경기도군포시,2022,7319.0
경기도군포시,2023,7436.0
경기도김포시,2020,4066.0
경기도김포시,2021,3133.0
경기도김포시,2022,2911.0
경기도김포시,2023,4303.0
경기도남양주시,2020,18680.0
경기도남양주시,2021,23103.0
경기도남양주시,2022,24448.0
경기도남양주시,2023,23008.0
경기도동두천시,2020,19501.0
경기도동두천시,2021,19691.0
경기도동두천시,2022,18292.0
경기도동두천시,2023,14970.0
경기도부천시,2020,15207.0
경기도부천시,2021,10765.0
경기도부천시,2022,15949.0
경기도부천시,2023,26845.0
경기도성남시,2020,4039.3333333333335
경기도성남시,2021,3643.6666666666665
경기도성남시,2022,3385.3333333333335
경기도성남시,2023,4235.0
경기도수원시,2020,3407.5
경기도수원시,2021,2895.75
경기도수원시,2022,2431.5
경기도수원시,2023,4177.0
경기도시흥시,2020,30958.0
경기도시흥시,2021,35848.0
경기도시흥시,2022,40029.0
경기도시흥시,2023,37175.0
경기도안산시,2020,68346.0
경기도안산시,2021,67005.0
경기도안산시,2022,71570.0
경기도안산시,2023,65977.5
경기도안성시,2020,23284.0
경기도안성시,2021,16845.0
경기도안성시,2022,14297.0
경기도안성시,2023,27903.0
경기도안양시,2020,1471.5
경기도안양시,2021,1345.0
경기도안양시,2022,1953.0
경기도안양시,2023,4167.5
경기도양주시,2020,41000.0
경기도양주시,2021,27280.0
경기도양주시,2022,23921.0
경기도양주시,2023,22193.0
경기도양평군,2020,1279.0
경기도양평군,2021,1168.0
경기도양평군,2022,881.0
경기도양평군,2023,740.0
경기도여주시,2020,3119.0
경기도여주시,2021,3149.0
경기도여주시,2022,3658.0
경기도여주시,2023,5906.0
경기도연천군,2020,491.0
경기도연천군,2021,1229.0
경기도연천군,2022,4056.0
경기도연천군,2023,2944.0
경기도오산시,2020,5850.0
경기도오산시,2021,4313.0
경기도오산시,2022,4317.0
경기도오산시,2023,5843.0
경기도용인시,2020,23676.0
경기도용인시,2021,27372.333333333332
경기도용인시,2022,22624.333333333332
경기도용인시,2023,21929.666666666668
경기도의왕시,2020,1184.0
경기도의왕시,2021,1240.0
경기도의왕시,2022,1463.0
경기도의왕시,2023,1340.0
경기도의정부시,2020,477.0
경기도의정부시,2021,1253.0
경기도의정부시,2022,2913.0
경기도의정부시,2023,4130.0
경기도이천시,2020,105900.0
경기도이천시,2021,101989.0
경기도이천시,2022,106035.0
경기도이천시,2023,94139.0
경기도파주시,2020,55075.0
경기도파주시,2021,61287.0
